Temp,Sat_press,Spec_vol_Sat_liquid,Internal_energy_Sat_liquid,Internal_energy_Evap,Internal_energy_Sat_vapour,Enthalpy_Sat_liquid,Enthalpy_Evap,Enthalpy_Sat_vapour,Entropy_Sat_liquid,Entropy_Evap,Entropy_Sat_vapour 
172.94,850,0.001118,731,1846.9,2577.9,731.95,2038.8,2770.8,2.0705,4.5705,6.6409
175.35,900,0.001121,741.55,1838.1,2579.6,742.56,2030.5,2773,2.0941,4.5273,6.6213
177.66,950,0.001124,751.67,1829.6,2581.3,752.74,2022.4,2775.2,2.1166,4.4862,6.6027
179.88,1000,0.001127,761.39,1821.4,2582.8,762.51,2014.6,2777.1,2.1381,4.447,6.585
184.06,1100,0.001133,779.78,1805.7,2585.5,781.03,1999.6,2780.7,2.1785,4.3735,6.552
187.96,1200,0.001138,796.96,1790.9,2587.8,798.33,1985.4,2783.8,2.2159,4.3058,6.5217
191.6,1300,0.001144,813.1,1776.8,2589.9,814.59,1971.9,2786.5,2.2508,4.2428,6.4936
195.04,1400,0.001149,828.35,1763.4,2591.8,829.96,1958.9,2788.9,2.2835,4.184,6.4675
198.29,1500,0.001154,842.82,1750.6,2593.4,844.55,1946.4,2791,2.3143,4.1287,6.443
205.72,1750,0.001166,876.12,1720.6,2596.7,878.16,1917.1,2795.2,2.3844,4.0033,6.3877
212.38,2000,0.001177,906.12,1693,2599.1,908.47,1889.8,2798.3,2.4467,3.8923,6.339
218.41,2250,0.001187,933.54,1667.3,2600.9,936.21,1864.3,2800.5,2.5029,3.7926,6.2954
223.95,2500,0.001197,958.87,1643.2,2602.1,961.87,1840.1,2801.9,2.5542,3.7016,6.2558
233.85,3000,0.001217,1004.6,1598.5,2603.2,1008.3,1794.9,2803.2,2.6454,3.5402,6.1856
242.56,3500,0.001235,1045.4,1557.6,2603,1049.7,1753,2802.7,2.7253,3.3991,6.1244
250.35,4000,0.001252,1082.4,1519.3,2601.7,1087.4,1713.5,2800.8,2.7966,3.2731,6.0696
263.94,5000,0.001286,1148.1,1448.9,2597,1154.5,1639.7,2794.2,2.9207,3.053,5.9737
275.59,6000,0.001319,1205.8,1384.1,2589.9,1213.8,1570.9,2784.6,3.0275,2.8627,5.8902
285.83,7000,0.001352,1258,1323,2581,1267.5,1505.2,2772.6,3.122,2.6927,5.8148
295.01,8000,0.001384,1306,1264.5,2570.5,1317.1,1441.6,2758.7,3.2077,2.5373,5.745
303.35,9000,0.001418,1350.9,1207.6,2558.5,1363.7,1379.3,2742.9,3.2866,2.3925,5.6791
311,10000,0.001452,1393.3,1151.8,2545.2,1407.8,1317.6,2725.5,3.3603,2.2556,5.6159
318.08,11000,0.001488,1433.9,1096.6,2530.4,1450.2,1256.1,2706.3,3.4299,2.1245,5.5544
324.68,12000,0.001526,1473,1041.3,2514.3,1491.3,1194.1,2685.4,3.4964,1.9975,5.4939
330.85,13000,0.001566,1511,985.5,2496.6,1531.4,1131.3,2662.7,3.5606,1.873,5.4336
336.67,14000,0.00161,1548.4,928.7,2477.1,1571,1067,2637.9,3.6232,1.7497,5.3728
342.16,15000,0.001657,1585.5,870.3,2455.7,1610.3,1000.5,2610.8,3.6848,1.6261,5.3108
347.36,16000,0.00171,1622.6,809.4,2432,1649.9,931.1,2581,3.7461,1.5005,5.2466
352.29,17000,0.00177,1660.2,745.1,2405.4,1690.3,857.4,2547.7,3.8082,1.3709,5.1791
356.99,18000,0.00184,1699.1,675.9,2375,1732.2,777.8,2510,3.872,1.2343,5.1064
361.47,19000,0.001926,1740.3,598.9,2339.2,1776.8,689.2,2466,3.9396,1.086,5.0256
365.75,20000,0.002038,1785.8,509,2294.8,1826.6,585.5,2412.1,4.0146,0.9164,4.931
369.83,21000,0.002207,1841.6,391.9,2233.5,1888,450.4,2338.4,4.1071,0.7005,4.8076
373.71,22000,0.002703,1951.7,140.8,2092.4,2011.1,161.5,2172.6,4.2942,0.2496,4.5439
373.95,22064,0.003106,2015.7,0,2015.7,2084.3,0,2084.3,4.407,0,4.407
